,Issue No,Issue Date,Gazette Number,Category,Department,URL,Deleted,Archived URL,Archived Date
62,63,2023-02-10,Part V--Section 4,Notifications by the Election Commission of India,Election Commission’s direction specifying that the votes at the current Bye-election to Tamil Nadu Legislative Assembly from 98. Erode (East) Assembly Constituency shall be given and recorded by means of Electronic Voting Machines and VVPAT,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/63_Ex_V_4_2023.pdf,True,,
63,62,2023-02-09,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,PUBLIC DEPARTMENT (Miscellaneous)--Declaration of monday the 27th February 2023 as a Public Holiday in connection with the bye-election to Tamil Nadu Legislative Assembly from 98. Erode (East) Assembly Constituency in Tamil Nadu.,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/62_Ex_II_1_2023.pdf,True,,
64,61,2023-02-09,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--FORM-C--Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/61_Ex_VI_1_2023.pdf,True,,
65,60,2023-02-09,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"TRANSPORT DEPARTMENT--Notice under Sub-Section (1) of Section 4 of the Tamil Nadu Acquisition of Land for Industrial Purposes Act, 1997 (Tamil Nadu Act 10 of 1999).",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/60_Ex_II_2_2023.pdf,True,,
66,59,2023-02-09,Part V--Section 4,Notifications by the Election Commission of India,NOTIFICATION BY THE ELECTION COMMISSION OF INDIA--Election Commission’s notification regarding Exit Poll at the Bye-Election to Tamil Nadu Legislative Assembly from 98.Erode (East) Assembly Constituency,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/59_Ex_V_4_2023.pdf,True,,
67,58,2023-02-08,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/58_Ex_VI_1_2023.pdf,True,,
68,57,2023-02-08,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--Acquisition of Lands--Form-C--Notice under Section 3(1) of Tamil Nadu Acqusition of land for Industrial Purposes Act, 1997",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/57_Ex_VI_1.pdf,False,https://web.archive.org/web/20230401003222/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/57_Ex_VI_1.pdf,2023-04-01 00:32:22
69,56,2023-02-08,Part V--Section 4,Notification by the Election Commission of India,NOTIFICATION BY THE ELECTION COMMISSION OF INDIA - Order of Election Commission of India Regarding Identification of Electors During the Bye-Election to Tamil Nadu Legislative Assembly From 98. Erode (East),http://www.stationeryprinting.tn.gov.in/extraordinary/2023/56_Ex_V_4_2023,True,,
70,55,2023-02-07,Part VI—Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005 - Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/55_Ex_VI_1_2023.pdf,True,,
71,54,2023-02-06,Par II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments,COMMERCIAL TAXES AND REGISTRATION DEPARTMENT - Notification regarding the appointment of the Special Officer under the Tamil Nadu Societies Registration Act (Registration No. 16/1984).,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/54_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003223/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/54_Ex_II_2_2023.pdf,2023-04-01 00:32:23
72,53,2023-02-06,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--Acquisition of Lands--Notice Under Section 3(1) of Tamil Nadu Acquisition of Land for Industrial Purposes Act,1997",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/53_Ex_VI_1.pdf,False,https://web.archive.org/web/20230401003223/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/53_Ex_VI_1.pdf,2023-04-01 00:32:23
73,52,2023-02-06,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments.,"PUBLIC DEPARTMENT - (Military) - Notification under the Manoeuvres, Field Firing and Artillery Practice Act.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/52_Ex_II_1_2023.pdf,False,https://web.archive.org/web/20230401003224/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/52_Ex_II_1_2023.pdf,2023-04-01 00:32:24
74,51,2023-02-03,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/51_Ex_VI_1_2023.pdf,True,,
75,50,2023-02-03,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/50_Ex_VI_1_2023.pdf,True,,
76,49,2023-02-03,Part V--Section 4,Notification by the Election Commission of India,NOTIFICATION BY THE ELECTION COMMISSION OF INDIA -Amendment to the List of Returning officer for the Assembly Constituency in The State of Tamil Nadu,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/49_Ex_V_4_2023.pdf,False,https://web.archive.org/web/20230401003302/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/49_Ex_V_4_2023.pdf,2023-04-01 00:33:02
